Ref_Volt,f_all,Vs_3w,sd_Vs_3w,Vs_3w_o,sd_Vs_3w_o,sens_3w,Vs_1w,sd_Vs_1w,Vs_1w_o,sd_Vs_1w_o,sens_1w,Vsh_1w,sd_Vsh_1w,Vsh_1w_o,sd_Vsh_1w_o,sens_1w_sh
0.05,122.0,-3.6916703225806457e-07,7.535590490748633e-07,0.0,0.0,22,0.015245074838709674,0.00028491252606518524,0.0,0.0,26,6.103562e-05,0.0,0.0,0.0,26
0.1,122.0,3.814726e-06,0.0,0.0,0.0,22,0.029720302580645154,1.499324621454436e-05,0.0,0.0,26,6.103562e-05,0.0,0.0,0.0,26
0.25,122.0,1.9073599999999993e-05,6.776263578034403e-21,0.0,0.0,22,0.07418575677419358,3.410380107346768e-05,6.103562e-05,0.0,26,0.0002441425,0.0,0.0,0.0,26
0.4,122.0,2.4795649999999997e-05,3.3881317890172014e-21,0.0,0.0,22,0.11866267419354838,4.4129143086070414e-05,0.00012207120000000003,2.710505431213761e-20,26,0.00036621279999999993,5.421010862427522e-20,0.0,0.0,26
0.55,122.0,2.0980949999999994e-05,6.776263578034403e-21,0.0,0.0,22,0.16316172580645166,5.7411536256372366e-05,0.00018310639999999997,2.710505431213761e-20,26,0.0005493201000000001,1.0842021724855044e-19,0.0,0.0,26
0.7000000000000001,122.0,1.1444149999999998e-05,1.6940658945086007e-21,0.0,0.0,22,0.20767011935483867,8.747138672936143e-05,0.0002441425,0.0,26,0.0006713903999999998,2.168404344971009e-19,0.0,0.0,26
0.8500000000000001,122.0,1.907363e-06,0.0,1.907363e-06,0.0,22,0.2521578193548387,0.00013459348212986982,0.0003051775999999999,1.0842021724855044e-19,26,0.0008544958999999996,4.336808689942018e-19,0.0,0.0,26
1.0,122.0,-1.3351499999999999e-05,1.6940658945086007e-21,2.461113548387097e-06,8.657734330552351e-07,22,0.2966445838709678,0.0001938891404182139,0.00036621279999999993,5.421010862427522e-20,26,0.00097657,0.0,0.0,0.0,26
1.15,122.0,-3.876248096774192e-05,8.916123394540942e-07,4.491527258064516e-06,9.125986302040915e-07,22,0.341097858064516,0.00027201544521398934,0.00042724799999999997,5.421010862427522e-20,26,0.0011596749999999998,2.168404344971009e-19,0.0,0.0,26
1.2999999999999998,122.0,-7.106458677419353e-05,8.345941464525275e-07,9.536800999999996e-06,3.3881317890172014e-21,22,0.38546254838709676,0.000402686164417814,0.000488285,0.0,26,0.001281746,0.0,0.0,0.0,26
1.4499999999999997,122.0,-0.0001069350516129032,4.6856658209077875e-07,1.2059424193548384e-05,8.916170140917563e-07,22,0.4298351064516129,0.00057918159441855,0.000488285,0.0,26,0.001464851000000001,8.673617379884035e-19,0.0,0.0,26
1.5999999999999996,122.0,-0.00015148133548387093,9.411638630589152e-07,1.8642908064516124e-05,1.858087317434022e-06,22,0.4741151290322581,0.000820155431057197,0.0005493201000000001,1.0842021724855044e-19,26,0.0015869219999999993,6.505213034913027e-19,0.0,0.0,26
1.7499999999999996,122.0,-0.00020790189999999996,5.421010862427522e-20,1.931970967741935e-05,1.5121231738220192e-06,22,0.5182533193548388,0.0011364902592203917,0.0006103553000000001,1.0842021724855044e-19,26,0.0017089919999999999,2.168404344971009e-19,0.0,0.0,26
1.8999999999999995,122.0,-0.0002692456580645161,2.8289265788000508e-06,2.411884838709677e-05,1.1411636282183056e-06,22,0.5622222709677419,0.0015498809363622293,0.0006694215258064515,1.0783968086962443e-05,26,0.0018920970000000006,6.505213034913027e-19,0.0,0.0,26
2.0499999999999994,122.0,-0.0003451089161290322,2.7803367811897674e-06,3.0148602903225808e-05,2.672066321417352e-06,22,0.6060159709677421,0.0021000799894433423,0.0007324255999999999,1.0842021724855044e-19,26,0.002014175,0.0,0.0,0.0,26
2.1999999999999993,122.0,-0.0004302628129032257,2.8568795975105814e-06,3.75319335483871e-05,2.0201214220733526e-06,22,0.6494749741935484,0.0027882782821463236,0.0007678653935483871,3.0118033143487607e-05,26,0.0021972809999999997,4.336808689942018e-19,0.0,0.0,26
2.349999999999999,122.0,-0.0005119115096774195,4.980298297087332e-06,4.429994354838709e-05,3.956932935436109e-06,22,0.6925047677419356,0.0036542560286370665,0.0007934607999999999,1.0842021724855044e-19,26,0.0023193509999999994,4.336808689942018e-19,0.0,0.0,26
2.499999999999999,122.0,-0.0006152774709677421,8.581701651928095e-06,5.309835741935483e-05,4.281349270607956e-06,22,0.7350915451612904,0.004653781458808264,0.0008544958999999996,4.336808689942018e-19,26,0.0024591408387096775,2.7704470248466785e-05,0.0,0.0,26
2.649999999999999,122.0,-0.0007510068612903228,1.2707155893602186e-05,8.109354870967742e-05,2.1045615455446857e-06,22,0.7772097451612905,0.005754395753981854,0.0008899356935483868,3.0118033143487546e-05,26,0.0026186202903225814,1.8045296136601583e-05,0.0,0.0,26
2.799999999999999,122.0,-0.0008604640645161291,2.4966475354705713e-05,7.284887870967743e-05,5.40391071268836e-06,22,0.8187215225806451,0.006879839548002871,0.0009155310999999996,3.2526065174565133e-19,26,0.0027446281290322587,2.4433046160743645e-05,0.0,0.0,26
2.949999999999999,122.0,-0.0010014260612903226,3.100148484616323e-05,8.490824387096771e-05,5.478354884481333e-06,22,0.8597430580645162,0.007870164464067266,0.0009686940129032257,2.0462414717054702e-05,26,0.002900168935483872,4.0637038894644806e-05,0.0,0.0,26
3.0999999999999988,122.0,-0.0011697044516129032,3.453330632119472e-05,0.00010299727774193547,3.905894308261272e-06,22,0.9004869838709678,0.008551049670450643,0.00097657,0.0,26,0.0030281465483870955,2.9729299661725653e-05,0.0,0.0,26
3.2,122.0,-0.0013280758064516131,2.5636407352874905e-05,0.00014114472903225804,3.965531793747424e-06,22,0.9359444645161292,0.005793755061162057,0.0010572937096774196,2.853165095818292e-05,26,0.003140372193548386,3.0374261921121044e-05,0.0,0.0,26
